x,y
-0.001,532.1331640625
0.001,532.1331640625
10000.001,521.4905130004882
20000.001,510.8478313903809
30000.001,500.2051803283691
40000.001,489.5624987182618
60000.001,468.2771965942382
70000.001,457.6345149841309
80000.001,446.9918639221191
90000.00099999999,436.3491823120117
110000.001,415.0638801879882
120000.001,404.4211985778809
130000.001,393.7785475158691
140000.001,383.1358659057618
160000.001,361.8505637817382
170000.001,351.2078821716308
180000.001,340.5652311096192
190000.001,329.9225494995118
210000.001,308.6372473754882
220000.001,297.9945657653809
230000.001,287.3519147033691
240000.001,276.7092330932618
250000.001,266.06658203125
270000.001,244.7812493591309
280000.001,234.1385982971191
320000.001,191.5679329528809
330000.001,180.9252818908691
370000.001,138.3546165466309
390000.001,117.0692991485596
410000.001,95.78396647644043
420000.001,85.14130777740479
430000.001,74.49864144134521
460000.001,42.5706538887024
470000.001,31.9279894618988
480000.001,21.2853269443512
520000.001,-21.24279881858826
530000.001,-31.86419727516174
540000.001,-42.48559763717651
570000.0009999999,-74.34979300689697
580000.0009999999,-84.97119527435302
590000.0009999999,-95.59258992004395
610000.0009999999,-116.835394454956
630000.0009999999,-138.0781837463379
670000.001,-180.5637928161621
680000.001,-191.1851798400879
720000.0009999999,-233.6707889099121
730000.0009999999,-244.2921759338379
750000.0009999999,-265.53498046875
760000.0009999999,-276.1563674926758
770000.001,-286.7777850036621
780000.001,-297.3991720275879
790000.001,-308.0205895385741
810000.001,-329.2633635864258
820000.0009999999,-339.8847810974121
830000.0009999999,-350.5061681213379
840000.0009999999,-361.1275856323242
860000.0009999999,-382.3703596801759
870000.0009999999,-392.9917771911621
880000.0009999999,-403.6131642150879
890000.0009999999,-414.2345817260742
910000.001,-435.4773557739259
920000.001,-446.0987732849121
930000.001,-456.7201603088379
940000.0009999999,-467.3415778198242
960000.0009999999,-488.5843518676758
970000.0009999999,-499.2057693786621
980000.0009999999,-509.8271564025879
990000.0009999999,-520.4485739135743
1000000.001,-531.0699609375
