x,y
-0.001,292.8568439025879
9999.999000000002,292.3026501159668
19999.999,291.7003782348634
29999.999,291.1406358032227
39999.999,290.6853115539551
49999.999,290.2341335449219
59999.999,289.8710326538085
69999.99900000001,289.3966539916992
79999.999,288.8856908569335
89999.999,288.391068786621
99999.99900000001,287.8674840087891
109999.999,287.4298727416992
119999.999,286.9509210205078
129999.999,286.8757399291991
130000.001,286.8757399291991
140000.001,287.1685986328125
149999.9991223378,287.1960979562624
159999.999,286.7740350952148
169999.999,286.3273081970215
179999.999,285.878233795166
189999.999,285.4347385253906
199999.999,284.9848714599609
209999.999,284.6590867309571
210000.001,284.6590867309571
220000.001,284.7428041992188
229999.9999014364,284.9533173291687
239999.999,284.6967687377929
249999.999,284.3564416809082
259999.999,283.9123366699219
269999.999,283.4848471069336
279999.999,283.0709547729492
289999.999,282.7526698608398
299999.999,282.5751132202148
300000.001,282.5751132202148
309999.9998600055,282.6640744527491
319999.999,282.5461505126953
329999.999,282.2076221923828
339999.999,281.9141537475585
349999.999,281.6496480102539
359999.999,281.4086173095703
369999.999,281.2512126159668
379999.999,281.0907592163085
380000.001,281.0907592163085
390000.001,281.1295692443848
399999.9997698482,281.1820374691316
409999.999,281.0981980590821
419999.999,280.9428359985352
429999.999,280.7505236206054
439999.999,280.5370532226563
449999.999,280.3348325500488
459999.999,280.1020638427734
469999.999,280.0241084289551
470000.001,280.0241084289551
480000.001,280.1983419799804
490000.0002234965,280.352972339067
499999.999,280.2548345031738
509999.999,280.0807229003906
519999.9990000001,279.9227084655762
529999.9990000001,279.7714926452637
539999.9990000001,279.5461932678223
549999.9990000001,279.4456164550782
559999.9990000001,279.4140318603515
560000.001,279.4140318603515
570000.0009999999,279.4717438659668
580000.0009999999,279.5056759643554
590000.0009999999,279.5296083068848
600000.0009999999,279.5765583801269
610000.0009999999,279.6215877685547
619999.9999698693,279.6578978539256
629999.9990000001,279.6193317260742
639999.9990000001,279.5540284423828
640000.0009999999,279.5540284423828
650000.001,279.8535638122559
660000.001,280.2878824768067
669999.9999481478,280.4166598070112
679999.9990000001,280.273797454834
689999.999,280.1660256958008
699999.999,279.966183013916
709999.999,279.7667061767578
719999.999,279.5888751525879
729999.999,279.499578552246
730000.0009999999,279.499578552246
740000.0009999999,279.8553625488281
750000.0009326529,280.230688748693
759999.9990000001,280.217609802246
769999.9990000001,280.0724304199219
779999.9990000001,279.7722243347168
789999.9990000001,279.5716499633789
799999.9990000001,279.3328448181152
809999.9990000001,279.0919360656738
819999.999,279.0412055969238
820000.0009999999,279.0412055969238
830000.000618281,279.1394349022563
839999.999,279.1162647399902
849999.999,278.9300802612304
859999.9990000001,278.6913360900879
869999.9990000001,278.4322875366211
879999.9990000001,278.2778705749512
889999.9990000001,278.1265023193359
899999.9990000001,278.0070540161133
900000.001,278.0070540161133
910000.001,278.1832692260742
920000.001,278.4276230163574
930000.001,278.5463701171875
940000.0000898807,278.572802396276
949999.999,278.5507297668457
959999.999,278.5191756591797
969999.999,278.4742377319336
979999.999,278.4265559692383
980000.0009999999,278.4265559692383
990000.0009999999,278.4708231811523
1000000.001,278.6045089416504
